ANIMALID	DATE	MEASURER	DORSAL	FLANK	VENTRUM	TAIL	RUMPSHAPE	RUMPSHADOW	ANKLESHADOW	EARBASE	EYEBROW	CHEEK	WHISKER	BETWEENEYES	ROSTRUM	NOTES	SPECDORSAL	SPECFLANK	SPECVENTRUM	pop	DORSAL_Brightness_MEAN	DORSAL_Hue_MEAN	DORSAL_Saturation_MEAN	FLANK_Brightness_MEAN	FLANK_Hue_MEAN	FLANK_Saturation_MEAN	VENTRUM_Brightness_MEAN	VENTRUM_Hue_MEAN	VENTRUM_Saturation_MEAN	DORSAL_Brightness_MEDIAN	DORSAL_Hue_MEDIAN	DORSAL_Saturation_MEDIAN	FLANK_Brightness_MEDIAN	FLANK_Hue_MEDIAN	FLANK_Saturation_MEDIAN	VENTRUM_Brightness_MEDIAN	VENTRUM_Hue_MEDIAN	VENTRUM_Saturation_MEDIAN	DORSAL_Brightness_SD	DORSAL_Hue_SD	DORSAL_Saturation_SD	FLANK_Brightness_SD	FLANK_Hue_SD	FLANK_Saturation_SD	VENTRUM_Brightness_SD	VENTRUM_Hue_SD	VENTRUM_Saturation_SD
VSD321	03.16.20	Brock_Sade	2	2	0.5	1.5	2	1	1	2	1.5	0	1.5	2	2		1-5	6-10	11-15	ALB	49.9945371097849	39.5637911139169	0.174261533181485	82.5705549775426	43.7117285619165	0.14511045669009	183.266657501261	61.995733854318	0.0246609693895936	51.688675445778	39.3731299579637	0.175077227273137	86.03889017995	43.8214536439319	0.154151174321545	175.724261775301	63.0591931491508	0.0252815557358451	5.09197593350804	0.668258299006209	0.0114167048424373	14.8865260550857	0.675543804484035	0.0200553687766655	19.6260319180779	1.99778784195833	0.0049671787751924
VSD322	03.16.20	Brock_Sade	2	2	1	1	2	0.5	1	2	1	0	1	2	1.5		1-5	6-10	11-15	ALB	33.6839164860935	39.1032629164557	0.20485298860878	74.9250620243003	43.0228685330594	0.185971596573958	194.466114203165	60.2997213458116	0.0350562005097807	34.2866862350929	39.1670411923932	0.201134825832361	74.859484274558	43.0664376475593	0.183176154688606	199.815822707591	61.0283047060673	0.0373320041676571	3.71394076718264	0.774458988666227	0.0186916992911661	4.47296919038675	0.301939200510952	0.0106646200156237	15.3927100296057	2.66376858161394	0.00498822885006424
VSD323	03.16.20	Brock_Sade	2	2	1	1.5	2	0	1	2	1.5	0	2	2	2		1-5	6-10	11-15	ALB	39.9011919709015	36.2232032396883	0.255017822775231	77.2207651421471	41.6316910870172	0.195572709837995	187.192077514379	63.0462288613444	0.0412253337610185	39.4402108502862	35.9621113345084	0.258463979047242	75.5500779302312	41.2618827323576	0.196112236853556	189.64109839153	63.0092802994955	0.0405445269163409	3.30088881124105	0.501900624853948	0.0162863177989903	7.65246248914093	1.20909082367955	0.0208157270544366	5.29841216603269	0.986333860505836	0.00203586494652662
VSD324	03.16.20	Brock_Sade	2	2	1	2.5	2	1	1	2	1	0.5	1.5	2	2		1-5	6-10	11-15	ALB	46.4731012474245	39.2491877803732	0.198627477213096	87.6756186159006	43.8560233094472	0.175996721305803	197.57195619132	63.3049279824745	0.0314993274485793	49.1478948231584	39.1175828074498	0.206991985729948	85.9600964880943	43.8227187404385	0.176422723877101	201.314272949551	63.2314765390986	0.0327799526390311	5.48135730380194	0.6207902936365	0.017849048136965	5.67830849867679	0.447081989120978	0.01058267795303	14.8081567653944	0.885939370647244	0.002448330629216
VSD331	03.16.20	Brock_Sade	2	2	0.5	1.5	3	1	1	2	1.5	0	1	2	2		1-5	6-10	11-15	ALB	46.9050530163354	37.7436957486253	0.252205942714494	67.2020863808119	40.2519806248581	0.214332770665565	198.931273965101	65.8189920994267	0.0422697806926967	46.8580798708089	37.6203493977091	0.252294369129526	63.9674547600769	40.2740861682349	0.210682021639016	200.20907893484	65.9227590795794	0.042803169158841	5.72670055677086	0.709393455090899	0.00574107187881785	7.58742126379849	0.399005671719902	0.0103545485243946	11.7580513938396	1.8271769145064	0.00403702612368531
VSD332	03.16.20	Brock_Sade	2	2	1	1	3	0.5	1	2	1.5	0.5	2	2	1.5		1-5	6-10	11-15	ALB	38.6729978031457	37.0081782743119	0.158480870529747	67.8401606299884	42.5450548319143	0.134035935295548	144.029713065366	62.0214311089945	0.0347258036576245	38.4927554310808	37.1428110888325	0.161623712961965	65.9923980019142	42.6093051440021	0.132895516449006	139.634014852886	62.0689100262371	0.0371132884042102	2.65980566072383	0.623984153343079	0.0152703887327426	9.27380399286833	0.144861023984505	0.00404141817493054	8.57209298012809	0.675788406889935	0.00501945439107641
VSD333	03.16.20	Brock_Sade	2	2	1	1.5	3	0.5	1	2	2	2	2	2	1.5		1-5	6-10	11-15	ALB	31.6814128171272	38.4265825273335	0.158723179507503	69.195014892187	43.0356955524951	0.139884471143648	174.601080804723	64.160189185062	0.0316621588710494	35.190138390276	38.5941970820993	0.151511376791804	70.9686940984884	43.0820061021163	0.138576726577269	173.884759558291	63.2163927707898	0.0299895004946904	6.99588984274007	0.569122651167019	0.0223961056623889	9.10669981215065	0.22208856378317	0.00711771699622483	13.6814469322752	2.15453177625211	0.00317034477962785
VSD334	03.16.20	Brock_Sade	2	2	1	4	4	0.5	1	2	1	2	2	2	2		1-5	6-10	11-15	ALB	33.509801461267	37.6436203796289	0.190720051203689	57.3716360187886	41.3574227340811	0.16961867126273	148.646218332059	60.9723708311349	0.0367109473942591	33.807554692003	37.4475686092032	0.182868518226523	56.9169593939002	41.1660361855438	0.16338475540032	154.210534710967	62.1399060603751	0.0340462721216033	3.64433753852403	1.04222413475773	0.0179879951686611	5.74513712899608	0.584892737869186	0.0121902362814534	9.51794771317611	2.94696214051982	0.00602653001136198
VSD335	03.16.20	Brock_Sade	2	2	0.5	2.5	3	1	1	2	1.5	0	2	2	1.5		1-5	6-10	11-15	ALB	38.1194839963815	39.4724988472249	0.176282049836956	69.0311105298368	43.448848599295	0.133930666579961	195.309189011026	65.4717919278747	0.0335035045368316	39.0479588503653	40.0841588538261	0.180177305962594	64.9405662949233	43.5499060225301	0.133730192208158	197.996950630661	65.3925121966755	0.0340696466809195	3.58009737379472	1.2107384583042	0.023336635612476	7.51067392648901	0.434918739908576	0.0143590188031205	17.1010769684417	0.866846183051846	0.00128981125251367
VSD336	03.16.20	Brock_Sade	2	2	1	1	2.5	1	1	2	2	0	2	2	1.5		1-5	6-10	11-15	ALB	43.736104331655	38.3927743000576	0.152921784440016	61.9215790397041	42.0479270250174	0.132136237977486	166.005197474185	59.5839249998789	0.0257221570945271	42.8877548320022	37.732088687868	0.150735898895226	61.9298297228813	42.1882921877968	0.12487569601897	161.851910028758	59.2595447002284	0.0255909015721077	5.1106650121797	1.75565642321166	0.022667429579586	1.1090404002357	0.500088635492865	0.0146721428254696	15.384344100409	1.05686546296432	0.0013193344170301
VSD337	03.16.20	Brock_Sade	2	2	1	2	2	1	1	2	2	0	1	2	NA		1-5	6-10	11-15	ALB	52.9486505230578	38.598157850533	0.120322246586981	75.2080437813722	41.1304360862302	0.0974803583487959	212.689041083281	66.0704283048025	0.0276078937436196	57.6642039579349	38.8025961341424	0.119452674269788	73.2903789608527	41.2431382699571	0.0999417642942025	204.275936129395	66.0311259212151	0.0228892479970164	8.14783389833836	0.39881821386683	0.00636000234591484	7.80005947016158	0.855919215770249	0.0104154125024298	41.5248125206451	3.32067539731109	0.0105161424705887
VSD338	03.16.20	Brock_Sade	2	2	0.5	1.5	2.5	1	0.5	2	1.5	0	1.5	2	1		1-5	6-10	11-15	ALB	44.8212041419028	39.0513889845725	0.212374641013415	80.9149996003385	43.3637983490424	0.172204482941496	192.755892571666	62.493094395099	0.0330803208415992	46.3169774345853	39.589194424325	0.218376656432485	83.4716725940824	43.1464845151784	0.174749315339704	192.460789672661	62.4506755688411	0.0343101016592256	9.39877806401602	1.37348581471957	0.0249138739575884	13.3181836572757	0.595154168652387	0.013380991689151	12.3934387860085	2.32600290099857	0.00284654234034302
VSD339	03.16.20	Brock_Sade	2	2	1	1.5	3	1	1	2	1	0.5	2	2	2		1-5	6-10	11-15	ALB	51.3839311779442	39.1223769493187	0.251750643439878	80.0312298731468	42.4369140678959	0.185261307573427	156.190894868865	57.2036330915276	0.0285982926078517	52.7351978310704	39.0186833722629	0.247362869649869	79.5981460224546	42.4503995333638	0.190546728211179	157.130546434393	56.7366860834157	0.0292753516299018	6.5255920192521	0.495248954510002	0.00958601268852328	6.83546296334504	0.138406790979308	0.0135150147679685	13.1005170692976	1.92478786939957	0.00248159567301169
VSD340	03.16.20	Brock_Sade	2	2	1	2	3	1	1	2	2	0	2	2	2		1-5	6-10	11-15	ALB	46.7329167711399	39.5821599089827	0.162288667850868	72.6891469823241	43.3525396775943	0.134674076276982	180.351245948806	63.996951452592	0.0186461003189034	44.8180781816839	39.3711389924449	0.156673209432988	73.5922385569014	43.0646808953602	0.13488525838084	165.336271043003	63.5197371998266	0.0187721202165428	8.67596403721202	1.34632923176413	0.0123627183064607	5.1164390450331	0.727464381396932	0.00589227315838456	31.2648980068922	1.2062846805131	0.000446804258984017
VSD341	03.16.20	Brock_Sade	2	2	1	1	3	1	1	2	1.5	0	2	2	1.5		1-5	6-10	11-15	ALB	45.337218867073	38.5963752499715	0.223343136513002	70.881074553311	42.5047912718291	0.179170160856399	151.650611468562	60.2870678409257	0.023185136047084	46.6996624633861	38.5323248884753	0.22370680249159	70.9026675321877	42.4462633900241	0.182049695598104	146.458358181314	61.4141949949907	0.0237241959711324	3.97889906059932	0.37911890794013	0.00863848507120314	4.47566384445955	0.28637025728149	0.00922384285211088	13.527598177326	1.97907966395969	0.00159717847595587
VSD342	03.16.20	Brock_Sade	2	2	1	2.5	3	1	1	2	1.5	0	1.5	2	1.5		1-5	6-10	11-15	ALB	47.0140942505352	39.5620679610114	0.220443644547684	80.709010614914	42.8893950795939	0.18970218085343	183.473365050337	61.9171657732114	0.0243095442578173	48.7025445359115	38.7303689734521	0.224441885690788	79.3956675025861	42.9677451006701	0.190329749792137	181.015705049633	62.2921086313512	0.0240725618116609	4.511633738595	1.48824374819472	0.0242754778176563	7.90546681589089	0.713861855099755	0.00911820184553746	15.1352059989335	1.61928469763484	0.00106053685126533
VSD343	03.16.20	Brock_Sade	2	2	1	2	3	1	1	2	2	0.5	1.5	2	1		1-5	6-10	11-15	ALB	47.8482473933968	40.0499575132365	0.186492386442437	76.1003321390258	43.30387953323	0.140672989834033	172.019195517781	65.4891589372246	0.0404426585715604	45.5393400269046	39.7218804742409	0.187356707533322	75.7675192884505	43.3905266354134	0.144475795322076	183.332920892837	65.6313956983925	0.0410429302025149	5.60595047031166	1.00045807889537	0.0171908374224454	3.8952877239167	0.826754127314221	0.00907471896111914	24.0068519840952	2.12704479338086	0.00448749241837183
VSD344	03.16.20	Brock_Sade	2	2	1	1	2	1	1	2	1	0	1	2	2		1-5	6-10	11-15	ALB	41.0619919705385	39.0156944803053	0.225238412521635	68.884891300558	41.4008378592523	0.20949249120596	180.762153714687	63.9251090094711	0.0326995430088429	38.3794386623566	39.3883927981361	0.22113806458929	68.5301068566923	40.9737196391403	0.218400270612676	184.510742790067	65.2876335029378	0.030428275940424	8.14463483634741	1.58322734646119	0.0178547959828534	3.88750576779956	0.865315227782064	0.0163821873719826	15.2878203852819	2.6362094971902	0.00820049709717794
VSD345	03.16.20	Brock_Sade	2	2	1	2.5	2	0	1	2	1	2	2	2	1.5		1-5	6-10	11-15	ALB	30.219267015271	35.5294288043352	0.132363653226776	47.705617861047	41.7598554980534	0.119889897583905	191.524684860554	67.0423266721926	0.0362433511611681	30.8337837913113	35.7382736622831	0.131494758258935	49.0562866267878	40.9851227789767	0.11658084294383	190.654667661101	67.7688652755081	0.0373008964600454	1.95055648819535	0.648504407961275	0.00593695538076002	5.25887173433998	2.09930086571699	0.0110155538995176	19.2825247778277	2.67273444314815	0.00354569546769997
VSD346	03.16.20	Brock_Sade	2	2	1	1	2.5	0	1	2	2	1	2	2	2		1-5	6-10	11-15	ALB	38.4495112674498	37.6766263048523	0.156413551466414	64.482761821545	42.4052121996319	0.116449020113415	186.394304074181	69.0449154192656	0.0340010130824909	43.0296417538328	38.6972265927349	0.153652703162227	69.1336789560202	42.4264144862051	0.114831055760964	182.294478886581	69.3614921640803	0.0342850741870127	12.4068970962247	1.80117203545265	0.0156034806469146	9.56326666695209	0.957495923869233	0.00760479769171299	11.9868433708332	0.927729301826492	0.00231661770838036
VSD347	03.16.20	Brock_Sade	2	2	1	3	3	0	1	2	1.5	0	2	2	2		1-5	6-10	11-15	ALB	41.0906008257185	36.4096091033237	0.203763030466275	74.7413595263529	40.798820725261	0.139670640363863	160.333277550032	68.3406368409956	0.0275501337528311	40.7996915046105	36.5547268859935	0.202340709805993	80.3000820633484	40.7705889772343	0.144252917676852	164.382457875647	68.1601172856754	0.0259408919766495	6.80325821590587	0.841905920324276	0.00915825895432368	18.1824899927387	0.678299412047262	0.0142090705681361	26.1886328149891	1.39792071348991	0.00581025086085434
VSD348	03.16.20	Brock_Sade	2	2	0.5	1	2	0.5	0.5	2	2	NA	1	2	2		1-5	6-10	11-15	ALB	46.3584130825877	40.1033704652549	0.17956423436125	73.7465614418412	42.8960573667397	0.135218713215641	186.879512155937	66.0480452446981	0.0240004330543655	49.2831731273735	40.4394076068668	0.185589988265738	72.7776214511927	42.7067049601418	0.135666368874172	185.20311367042	64.1658678457832	0.0232719946047038	9.88396881105439	1.02183253515964	0.0127911264468337	7.32762097385653	0.861356746571319	0.0079355523228197	9.16969293661744	2.98263965306302	0.00351049388453774
VSD349	03.16.20	Brock_Sade	2	2	0.5	1.5	2	1	1	2	1.5	0	1.5	2	0.5		1-5	6-10	11-15	ALB	45.4693907678723	37.8964816945217	0.140703255045557	57.7301814759372	40.2725717872542	0.137793949357271	212.437426157424	71.9891612083095	0.0247223882949472	52.1219557072173	38.2946676257094	0.12579659791155	54.2624167322969	39.9137163846527	0.137171956269291	217.891860974609	72.3335717457181	0.0238741405650557	18.1784901015443	1.71140690175214	0.0300660347527788	10.1159664197123	0.834977342455917	0.00580036430456411	11.1766760714168	1.05486521721706	0.00337741563821436
VSD350	03.16.20	Brock_Sade	2	2	0.5	1.5	3	0	1	2	2	0	1.5	2	1		1-5	6-10	11-15	ALB	42.6146022685742	37.7481879663158	0.242661037244667	84.2125944818968	42.8723644442935	0.200828016493704	216.750125874468	66.2941763263089	0.0215478206271307	43.1236054096393	37.7464878020409	0.246334519337686	82.5332439728768	42.8947290154592	0.200216397603563	214.333609729751	67.281196093328	0.0214515288712745	3.1268011965184	0.249061689872804	0.0152924870128927	6.89100241408034	0.434224103754968	0.00812060463558311	17.6969783949017	1.95236512680836	0.00196819705908928
VSD351	03.16.20	Brock_Sade	2	2	1	3	3	1	1	2	2	0	2	2	2		1-5	6-10	11-15	ALB	45.2213021113867	38.4925803263083	0.195539392777552	60.9921307846168	41.6255179435271	0.149564072444309	175.23377431662	63.4692636433871	0.0208064388304277	44.7861661676251	38.3829053841398	0.195973216063303	61.6370324206323	41.6469856380075	0.147917698832341	166.808313456956	62.9785548028739	0.0208162672188419	2.06464048135985	0.273456355303245	0.00820533372834283	5.46028350017401	0.341144212369251	0.00525757159957182	14.7036175385869	2.06691956114587	0.00201370644316771
VSD352	03.16.20	Brock_Sade	2	2	1	2.5	2	1	1	2	1	1	2	2	2		1-5	6-10	11-15	ALB	38.691874395706	38.1586913597091	0.1606596824382	73.330253460127	42.2302715286417	0.160057520307223	184.603528644109	64.3454270785013	0.0274997233221752	38.9263979148428	37.9166764624184	0.168279038634663	72.9670936090372	42.0808635841931	0.160378157260013	184.55505703422	64.4847660831599	0.027389383162419	4.97236502737288	1.31487114016932	0.0176918818917012	6.51172139740914	0.765052509187863	0.00743606179190485	10.1191924980443	0.388288592657	0.0017599609293248
VSD353	03.16.20	Brock_Sade	2	2	1	1	2	1	1	2	2	0	1	2	1.5		1-5	6-10	11-15	ALB	40.6138141538678	38.20474561939	0.179921115600299	71.2349577165619	42.2120786688188	0.160124543927318	180.781420396163	62.5394325892048	0.0269357260141648	41.2617441314748	37.9724908120094	0.182639115659639	69.3667154396555	42.0264465235809	0.164368112308652	177.996380644373	60.5107805310238	0.0261361433222916	4.22344726677185	0.446490500166781	0.00985109722695321	5.40712978659285	0.386230854817169	0.0109382511144427	16.1924796679044	3.8280551694666	0.0023319836671816
VSD354	03.16.20	Brock_Sade	2	2	1	2.5	2	1	1	2	1.5	0.5	1.5	2	2		1-5	6-10	11-15	ALB	36.4093624286322	37.148721580118	0.151834246202648	69.4195208151178	42.4087772237845	0.122036320725759	183.798953669471	61.2225726362824	0.0262697779397226	36.4894196767926	37.1170527212171	0.15701860974898	69.2310524605865	42.3446572283421	0.120030658188598	178.452304290111	62.3593485969687	0.0255000176844569	4.80367780254412	0.638759021206853	0.0155520851379187	0.821164752005885	0.353982245413787	0.00519071404222947	14.4616497026144	2.61373491827088	0.00272216171786689
VSD355	03.16.20	Brock_Sade	2	2	1	2	3	0	1	2	2	0	1.5	2	2		1-5	6-10	11-15	ALB	47.8759014783265	39.0687427376681	0.170447668183801	82.3819991816498	41.9056970220063	0.144348471436831	229.254741689619	64.1465726117132	0.0238679025266868	45.5783508080452	39.2146354117287	0.170350959947859	83.0936332609539	42.0789084572338	0.139853880486555	225.945067525405	64.5008926390829	0.0217745537104343	8.01608883888738	0.470219965504082	0.0133710466303834	5.50704361123671	0.679901485082229	0.0110544229940147	18.0396042744775	1.27719201912849	0.00478412307149159
VSD356	03.16.20	Brock_Sade	2	2	1	3	4	0.5	1.5	2	2	NA	2	2	2		1-5	6-10	11-15	ALB	42.0455486630044	39.6017044816088	0.212895526380911	76.1377037341806	42.2623980436391	0.179825679277059	165.954099890235	61.6607230875812	0.0218848648836773	39.8322632315854	39.7663057448496	0.219063042064944	76.6723022207581	42.1920832604812	0.182327597779331	162.374983118571	61.8831912232329	0.0219464286435408	6.44198916522221	0.679257349861096	0.014853500334189	5.22709697395772	0.603639528416538	0.0112142345733639	19.8873414293236	1.50569331507105	0.000780531705708525
VSD357	03.16.20	Brock_Sade	2	2	1	1	2	1	1	2	1.5	0	2	2	2		1-5	6-10	11-15	ALB	41.4247577667737	36.3103259908133	0.172569884810412	68.2327661275947	42.3647228444452	0.122216842668754	181.909611540437	62.7355152359258	0.0283805973478036	38.5998323634343	36.0501933518953	0.174527493668034	66.655132337318	42.3105423419513	0.125749828543206	182.151042684409	63.5804947365813	0.0288134964254019	7.62482419137679	0.773931501072879	0.0077764165023267	8.71058458304879	0.274215696649094	0.017078533243818	26.9760589374503	1.56442964981117	0.00257980754064681
VSD358	03.16.20	Brock_Sade	2	2	1	1.5	2	1	1	2	1	1	2	2	2		1-5	6-10	11-15	ALB	51.5252005080563	38.6930125456313	0.115512915423263	88.2701363414516	43.945020473972	0.0886080794634926	200.707918249363	68.5433430214444	0.0257956325447183	53.4245135350616	38.7622690243037	0.111214499666732	88.6894110156872	43.8661100229075	0.0839780600678817	196.614543855368	68.0186039352308	0.0261892140872306	3.60726828250993	0.612427044266315	0.0203593595819855	12.227502409386	0.278044253814982	0.0135012158031533	16.7360202214972	1.49234472297288	0.00172549526037875
VSD63	03.16.20	Brock_Sade	2	2	1	3	3	1	1	2	1.5	0.5	2	2	2		1-5	6-10	11-15	ALB	43.067760010895	40.290733023639	0.203641518203225	75.7657737389118	44.2250829768256	0.170682335820494	159.513910885851	64.1507125218742	0.0323328679913261	41.4822815384371	40.1402107805878	0.201449068182589	75.8855092533481	44.4009568028355	0.167617874946019	155.635105254286	64.727704717208	0.0299468234504896	5.25485817504789	1.19350985093723	0.0115086863920653	5.60319611919484	0.600470858586217	0.00728597252839324	9.63359022098074	2.00845363568668	0.00551926872891494
VSD65	03.16.20	Brock_Sade	2	2	1	NA	3	0	1.5	2	2	NA	NA	2	2		1-5	6-10	11-15	ALB	43.0275417164706	38.7964510908264	0.180476023680212	72.1514596490795	45.3212257369393	0.126022887229691	123.822622672594	64.5958816495468	0.0372937888799134	41.7851746811047	38.6075660402584	0.179871630210161	71.5348551088767	45.0383481359468	0.12661042491493	123.448761114485	63.9005519938917	0.0387793817259704	2.20867853960785	0.679421230067344	0.0141723276536192	6.16680869759121	0.798657993172848	0.00161808140213437	14.79660655239	1.50714058360082	0.00329884769010341
VSD66	03.16.20	Brock_Sade	2	2	1	2	4	0	2	2	1.5	2	2	2	2		1-5	6-10	11-15	ALB	47.1802757261177	38.1582248520941	0.140231083188902	86.8210415524767	43.8379891489116	0.112434980165711	160.03415483051	63.8966013215122	0.0273537312043284	47.0230263282288	38.3534453279189	0.135942572322854	84.0131713459698	43.9506785611867	0.108311731612065	152.975542926618	64.5887577325858	0.0269216222199716	6.19020985298869	0.805309746391849	0.0121102825809397	4.70188804317493	0.651677146649009	0.0100958464021412	16.8146005993099	1.51621125944184	0.00128240321062573
